table_schema,table_name,column_name,data_type
sttash_website_live,bureau_account_history,id,bigint
sttash_website_live,bureau_account_history,customer_id,bigint
sttash_website_live,bureau_account_history,loan_id,bigint
sttash_website_live,bureau_account_history,report_id,bigint
sttash_website_live,bureau_account_history,account_list_id,bigint
sttash_website_live,bureau_account_history,history_date,date
sttash_website_live,bureau_account_history,month_number,integer
sttash_website_live,bureau_account_history,dpd_char,character varying
sttash_website_live,bureau_account_history,dpd,integer
sttash_website_live,bureau_account_history,payment_status,character varying
sttash_website_live,bureau_account_history,suit_filed_status,character varying
sttash_website_live,bureau_account_history,asset_classification_status,character varying
sttash_website_live,bureau_account_history,create_date,timestamp without time zone
sttash_website_live,bureau_account_list,id,bigint
sttash_website_live,bureau_account_list,customer_id,bigint
sttash_website_live,bureau_account_list,loan_id,bigint
sttash_website_live,bureau_account_list,report_id,bigint
sttash_website_live,bureau_account_list,accounttype,character varying
sttash_website_live,bureau_account_list,bureauremarkcode,character varying
sttash_website_live,bureau_account_list,currentbalance,numeric
sttash_website_live,bureau_account_list,dateclosed,date
sttash_website_live,bureau_account_list,dateofentryforerrorordisputeremarkscode,date
sttash_website_live,bureau_account_list,dateoflastpayment,date
sttash_website_live,bureau_account_list,dateopenedordisbursed,date
sttash_website_live,bureau_account_list,datereportedandcertified,date
sttash_website_live,bureau_account_list,highcreditorsanctionedamount,numeric
sttash_website_live,bureau_account_list,ownershipindicator,integer
sttash_website_live,bureau_account_list,paymenthistoryenddate,date
sttash_website_live,bureau_account_list,paymenthistorystartdate,date
sttash_website_live,bureau_account_list,reportingmember,character varying
sttash_website_live,bureau_account_list,suitfiledorwilfuldefault,character varying
sttash_website_live,bureau_account_list,accountnumber,character varying
sttash_website_live,bureau_account_list,overdueamount,numeric
sttash_website_live,bureau_account_list,writtenoffandsettledstatus,character varying
sttash_website_live,bureau_account_list,valueofcollateral,character varying
sttash_website_live,bureau_account_list,typeofcollateral,character varying
sttash_website_live,bureau_account_list,creditlimit,numeric
sttash_website_live,bureau_account_list,cashlimit,numeric
sttash_website_live,bureau_account_list,rateofinterest,numeric
sttash_website_live,bureau_account_list,repaymenttenure,integer
sttash_website_live,bureau_account_list,emiamount,numeric
sttash_website_live,bureau_account_list,writtenoffamounttotal,numeric
sttash_website_live,bureau_account_list,writtenoffamountprincipal,numeric
sttash_website_live,bureau_account_list,settlementamount,numeric
sttash_website_live,bureau_account_list,paymentfrequence,character varying
sttash_website_live,bureau_account_list,actualpaymentamount,numeric
sttash_website_live,bureau_account_list,dateofentryforerrorcode,date
sttash_website_live,bureau_account_list,errorcode,character varying
sttash_website_live,bureau_account_list,dateofentryforbureauremarkscode,date
sttash_website_live,bureau_account_list,errorordisputeremarkscode1,character varying
sttash_website_live,bureau_account_list,errorordisputeremarkscode2,character varying
sttash_website_live,bureau_account_list,create_date,timestamp without time zone
sttash_website_live,bureau_account_list,lastpaymentamount,numeric
sttash_website_live,bureau_account_list,accountstatus,character varying
sttash_website_live,bureau_account_list,assetclassification,character varying
sttash_website_live,bureau_account_list,reason,character varying
sttash_website_live,bureau_account_list,extra_params,character varying
sttash_website_live,bureau_account_summary,id,bigint
sttash_website_live,bureau_account_summary,customer_id,bigint
sttash_website_live,bureau_account_summary,loan_id,bigint
sttash_website_live,bureau_account_summary,report_id,bigint
sttash_website_live,bureau_account_summary,from_bureau,smallint
sttash_website_live,bureau_account_summary,no_of_accounts,integer
sttash_website_live,bureau_account_summary,no_of_active_accounts,integer
sttash_website_live,bureau_account_summary,no_of_write_offs,integer
sttash_website_live,bureau_account_summary,total_past_due,numeric
sttash_website_live,bureau_account_summary,most_severe_status_with_in_24months,character varying
sttash_website_live,bureau_account_summary,single_highest_credit,numeric
sttash_website_live,bureau_account_summary,single_highest_sanction_amount,numeric
sttash_website_live,bureau_account_summary,total_high_credit,numeric
sttash_website_live,bureau_account_summary,average_open_balance,numeric
sttash_website_live,bureau_account_summary,single_highest_balance,numeric
sttash_website_live,bureau_account_summary,no_of_past_due_accounts,integer
sttash_website_live,bureau_account_summary,no_of_zero_balance_accounts,integer
sttash_website_live,bureau_account_summary,recent_account_date,date
sttash_website_live,bureau_account_summary,recent_account_type,character varying
sttash_website_live,bureau_account_summary,oldest_account_date,date
sttash_website_live,bureau_account_summary,oldest_account_type,character varying
sttash_website_live,bureau_account_summary,total_balance_amount,numeric
sttash_website_live,bureau_account_summary,total_sanction_amount,numeric
sttash_website_live,bureau_account_summary,total_credit_limit,numeric
sttash_website_live,bureau_account_summary,total_monthly_payment_amount,numeric
sttash_website_live,bureau_account_summary,create_date,timestamp without time zone
sttash_website_live,bureau_account_type,id,integer
sttash_website_live,bureau_account_type,use_status,character varying
sttash_website_live,bureau_account_type,account_type,character varying
sttash_website_live,bureau_account_type,status,smallint
sttash_website_live,bureau_account_type,min_value,integer
sttash_website_live,bureau_account_type,operation,character varying
sttash_website_live,bureau_account_type,max_value,integer
sttash_website_live,bureau_account_type,amount_parameter,character varying
sttash_website_live,bureau_account_type,loantype,character varying
sttash_website_live,bureau_account_type,account_type_code_equifax,character varying
sttash_website_live,bureau_account_type,account_type_code_cibil,character varying
sttash_website_live,bureau_account_type,sf_account_type,character varying
sttash_website_live,bureau_account_type,create_date,timestamp without time zone
