table_schema,table_name,column_name,data_type,Table description
sttash_website_live,bureau_account_history,id,bigint,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,customer_id,bigint,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,loan_id,bigint,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,report_id,bigint,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,account_list_id,bigint,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,history_date,date,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,month_number,integer,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,dpd_char,character varying,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,dpd,integer,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,payment_status,character varying,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,suit_filed_status,character varying,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,asset_classification_status,character varying,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_history,create_date,timestamp without time zone,"This table contains the complete tradeline (credit account) history of customers as reported by credit bureaus. It includes detailed information about each credit account such as account type, opening date, current balance, credit limit, payment history, and account status. The table is used to assess a customer's credit behavior and exposure over time."
sttash_website_live,bureau_account_list,id,bigint,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,customer_id,bigint,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,loan_id,bigint,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,report_id,bigint,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,accounttype,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,bureauremarkcode,character varying,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,currentbalance,numeric,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
sttash_website_live,bureau_account_list,dateclosed,date,"This table provides a summary view of all credit accounts associated with a customer, as reported by the credit bureau. It typically includes metadata such as account type, ownership, bureau reporting name, and account number. This acts as a reference or header table for detailed account history stored in related tables like bureau_account_history"
